system:index,CO_density,City,date,.geo
00000000000000000023_18,0.039460763508196876,Delhi,01-06-2020,
00000000000000000023_19,0.036510292041700976,Delhi,01-07-2020,
00000000000000000023_20,0.03462243132004643,Delhi,01-08-2020,
00000000000000000023_21,0.03953959091001123,Delhi,01-09-2020,
00000000000000000023_22,0.04437935299399204,Delhi,01-10-2020,
000000000000000000db_0,0.04477077618029846,Delhi,01-12-2018,
000000000000000000db_1,0.04384877592592192,Delhi,01-01-2019,
000000000000000000db_2,0.041122177808421735,Delhi,01-02-2019,
000000000000000000db_3,0.039558040011371254,Delhi,01-03-2019,
000000000000000000db_4,0.04422645629723579,Delhi,01-04-2019,
000000000000000000db_5,0.04527264709459848,Delhi,01-05-2019,
000000000000000000db_6,0.04218163541631687,Delhi,01-06-2019,
000000000000000000db_7,0.03702840687544987,Delhi,01-07-2019,
000000000000000000db_8,0.03780605674916303,Delhi,01-08-2019,
000000000000000000db_9,0.037116972216399785,Delhi,01-09-2019,
000000000000000000db_10,0.044555310013130754,Delhi,01-10-2019,
000000000000000000db_11,0.043569419097300104,Delhi,01-11-2019,
000000000000000000db_12,0.044385754863098,Delhi,01-12-2019,
000000000000000000db_13,0.04292080841872575,Delhi,01-01-2020,
000000000000000000db_14,0.04493851565395346,Delhi,01-02-2020,
000000000000000000db_15,0.04063213898405111,Delhi,01-03-2020,
000000000000000000db_16,0.03928947494536042,Delhi,01-04-2020,
000000000000000000db_17,0.04249428789214188,Delhi,01-05-2020,
000000000000000000db_18,0.04021861626534712,Delhi,01-06-2020,
000000000000000000db_19,0.03821034358114576,Delhi,01-07-2020,
000000000000000000db_20,0.03497972319974652,Delhi,01-08-2020,
000000000000000000db_21,0.03963913021905107,Delhi,01-09-2020,
000000000000000000db_22,0.04513504263614929,Delhi,01-10-2020,
00000000000000000084_0,0.04238355620727621,Delhi,01-12-2018,
00000000000000000084_1,0.04224465706393042,Delhi,01-01-2019,
00000000000000000084_2,0.04047756714834398,Delhi,01-02-2019,
00000000000000000084_3,0.03857834051388995,Delhi,01-03-2019,
00000000000000000084_4,0.04093943278279744,Delhi,01-04-2019,
00000000000000000084_5,0.04260500600753135,Delhi,01-05-2019,
00000000000000000084_6,0.040239758902374724,Delhi,01-06-2019,
00000000000000000084_7,0.03668733312284138,Delhi,01-07-2019,
00000000000000000084_8,0.03832480872475315,Delhi,01-08-2019,
00000000000000000084_9,0.038814280227990036,Delhi,01-09-2019,
00000000000000000084_10,0.043001554701843206,Delhi,01-10-2019,
00000000000000000084_11,0.0431571879546821,Delhi,01-11-2019,
00000000000000000084_12,0.04136281488179397,Delhi,01-12-2019,
00000000000000000084_13,0.04127522530146615,Delhi,01-01-2020,
00000000000000000084_14,0.04215121280973477,Delhi,01-02-2020,
00000000000000000084_15,0.03883662472875006,Delhi,01-03-2020,
00000000000000000084_16,0.0397729663700824,Delhi,01-04-2020,
00000000000000000084_17,0.04217527595628383,Delhi,01-05-2020,
00000000000000000084_18,0.039714072947694246,Delhi,01-06-2020,
00000000000000000084_19,0.03795710877606622,Delhi,01-07-2020,
00000000000000000084_20,0.034978191154949295,Delhi,01-08-2020,
00000000000000000084_21,0.038307953749691405,Delhi,01-09-2020,
00000000000000000084_22,0.042773211073271394,Delhi,01-10-2020,
000000000000000000c5_0,0.04437911653645702,Delhi,01-12-2018,
000000000000000000c5_1,0.04274018247517783,Delhi,01-01-2019,
000000000000000000c5_2,0.041536932837994325,Delhi,01-02-2019,
000000000000000000c5_3,0.03930115485063185,Delhi,01-03-2019,
000000000000000000c5_4,0.04414803987625809,Delhi,01-04-2019,
000000000000000000c5_5,0.04441876089573104,Delhi,01-05-2019,
000000000000000000c5_6,0.04150013248714531,Delhi,01-06-2019,
000000000000000000c5_7,0.03661158866096489,Delhi,01-07-2019,
000000000000000000c5_8,0.03810546996557119,Delhi,01-08-2019,
000000000000000000c5_9,0.03852543588789673,Delhi,01-09-2019,
000000000000000000c5_10,0.04562341562277011,Delhi,01-10-2019,
000000000000000000c5_11,0.04110533488911688,Delhi,01-11-2019,
000000000000000000c5_12,0.04418503233815504,Delhi,01-12-2019,
000000000000000000c5_13,0.041866798009555166,Delhi,01-01-2020,
000000000000000000c5_14,0.0434349713063811,Delhi,01-02-2020,
000000000000000000c5_15,0.040036391030611226,Delhi,01-03-2020,
000000000000000000c5_16,0.039432292964816415,Delhi,01-04-2020,
000000000000000000c5_17,0.04171477811406194,Delhi,01-05-2020,
000000000000000000c5_18,0.039941534696509455,Delhi,01-06-2020,
000000000000000000c5_19,0.03855610438067587,Delhi,01-07-2020,
000000000000000000c5_20,0.0355929029669314,Delhi,01-08-2020,
000000000000000000c5_21,0.03936579031638392,Delhi,01-09-2020,
000000000000000000c5_22,0.04265202839831934,Delhi,01-10-2020,
00000000000000000064_0,0.04625341425771202,Delhi,01-12-2018,
00000000000000000064_1,0.044855845718651685,Delhi,01-01-2019,
00000000000000000064_2,0.044083291367582975,Delhi,01-02-2019,
00000000000000000064_3,0.04123932871099271,Delhi,01-03-2019,
00000000000000000064_4,0.04559459008650292,Delhi,01-04-2019,
00000000000000000064_5,0.04563159166794028,Delhi,01-05-2019,
00000000000000000064_6,0.04352353759575337,Delhi,01-06-2019,
00000000000000000064_7,0.0374420213361816,Delhi,01-07-2019,
00000000000000000064_8,0.03812369124045667,Delhi,01-08-2019,
00000000000000000064_9,0.037528055366836864,Delhi,01-09-2019,
00000000000000000064_10,0.04430306876878382,Delhi,01-10-2019,
00000000000000000064_11,0.04697655910153667,Delhi,01-11-2019,
00000000000000000064_12,0.04604172284224596,Delhi,01-12-2019,
00000000000000000064_13,0.044559741478870186,Delhi,01-01-2020,
00000000000000000064_14,0.046083599816167865,Delhi,01-02-2020,
00000000000000000064_15,0.0403560415834107,Delhi,01-03-2020,
00000000000000000064_16,0.03922918874460719,Delhi,01-04-2020,
00000000000000000064_17,0.042408280080946006,Delhi,01-05-2020,
00000000000000000064_18,0.03965478939685016,Delhi,01-06-2020,
00000000000000000064_19,0.03803179839466953,Delhi,01-07-2020,
00000000000000000064_20,0.03488513454495239,Delhi,01-08-2020,
00000000000000000064_21,0.039599343313736816,Delhi,01-09-2020,
